N;Názov Online Kurzu;"Cena Po Zľave";"Normálna Cena";Kategória;Popis
147;Online kurz Microsoft Excel – Financie a Finančné Funkcie;99;130;Kancelárske Balíky;Naučíme ťa tvorbu tabuliek v programe Microsoft Excel, pohybovať sa v tabuľkách, ako riešiť výpočty v tabuľkách s využitím vzorcov. Ďalej ťa naučíme tvoriť grafy, formátovať vzhľad buniek a textu a celé tabuľky graficky upravovať. Absolvent kurzu získa praktické skúsenosti s využitím Microsoft Excel so zameraním na riešenie jednoduchých úloh úrokového počtu, na vyhodnocovanie efektívnosti investičných variantov a na posúdenie rizikovosti portfólia cenných papierov.
148;Online kurz Microsoft Excel - Kontingenčné Tabuľky;39;52;Kancelárske Balíky;Online kurz Microsoft Excel Kontingenčné Tabuľky je určený pre teba, ak sa chceš naučiť pracovať s kontingenčnými tabuľkami a analyzovať dáta. Naučíme ťa usporiadať či radiť tabuľky a pridávať do nich súhrny. Vytváranie kontingenčných tabuliek a ich úprava bude pre teba malina. Osvojíš si formátovanie, filtrovanie a rozdeľovanie dát. Ku kontingenčným tabuľkám budeš schopný vytvárať kontingenčné grafy a rýchle filtre. Ako absolvent online kurzu Microsoft Excel Kontingenčné Tabuľky zvládneš pracovať s externými dátami v rôznych typoch súborov.
149;Online kurz Microsoft Excel - Mac OS X;64;84,50;Kancelárske Balíky;Online kurz Microsoft Excel - Mac OS X je určený pre teba, je pre teba vhodný, ak sa chceš naučiť pracovať v Exceli s operačným systémom Mac OS X. Naučíme ťa vytvárať a spracovávať tabuľky, grafy a obrázky a pracovať s operačným systémom Mac OS X.
150;Online kurz Microsoft Excel - Pokročilé Techniky a Veľké Dáta;97;127,40;Kancelárske Balíky;Chceš sa naučiť tvoriť pokročilé analýzy bez nutnosti čokoľvek programovať a využiť Excel na maximum? My ťa naučíme využívať analytické nástroje a funkcie programu Excel určených k hromadnému spracovanie veľkého objemu dát. Ukážeme ti zásady zamedzujúcim riziku poškodenia, alebo straty dát či ich relevantnosti a ďalším možnostiam ich získavaniu a úpravám dát pred samotným spracovaním.
151;Online kurz Microsoft Excel - Power Query;84;110,5;Kancelárske Balíky;Online kurz Microsoft Excel Power Query je určený pre účastníkov s predchádzajúcou znalosťou Microsoft Excel, vrátane tých, ktorí budú používať Excel ako nástroj pre následné obchodné rozhodnutia a analýzu dát. Naučíš sa spracovávať, importovať a transformovať dáta z rôznych zdrojov. Kvôli práci s dátovým modelom sa odporúča absolvovanie tréningu Excel - PowerPivot avšak toto odporúčanie nie je podmienkou.
152;Online kurz Microsoft Excel - PowerPivot;84;110,5;Kancelárske Balíky;Online kurz Microsoft Excel - PowerPivot je určený pre teba, ak sa chceš naučiť analýzu a controling v Exceli. Naučíme ťa pracovať so zoznamami a databázami a riešiť problémy s formátmi. Osvojíš si pripojenie databázy Microsoft Access, ale aj spracovanie dát. Ako absolvent online kurzu Microsoft Excel - PowerPivot hravo zvládneš analýzu dát a prácu s kontingenčnými tabuľkami. Inštalovať PowerPivot a pracovať s ním bude pre teba hračkou.
153;Online kurz Microsoft Excel - Práca s Veľkými Dátami;97;127,4;Kancelárske Balíky;Online kurz Microsoft Excel - Práca s Veľkými Dátami ťa naučí ako efektívne pracovať s veľkými dátami a robiť s nimi rôzne typy transformácii. Naučíme ťa importovať z rôznych zdrojov, odstrániť chyby a problémy, a rovnako exportovať do rôznych typov súborov. Ďalej si ukážem prácu s funkciami a vzorcami na veľkými dátami a ako efektívne spracovávať rôzne rozsahy dát. Po tomto kurze zvládneš hravo prácu s nástroje Power Query a PowerPivot.
154;Online kurz Microsoft Excel - Praktické Úlohy;54;72,00;Kancelárske Balíky;V online kurze Microsoft Excel - Praktické Úlohy sa naučíš riešiť praktické úlohy každodenného života pomocou Excelu. Všetko, čo potrebujete o Exceli vedieť pre riešenie svojich úloh, sa naučíte na praktických príkladoch. Dozvieš sa, že sa dá Excel využiť nielen na tabuľky a grafy, ale aj na hľadanie najlepšieho (optimálneho) riešenie problémov v praktickom živote.
155;Online kurz Microsoft Excel - Pre Marketérov;57;75,4;Kancelárske Balíky;Online kurz Microsoft Excel - Pre Marketérov je nesmierne výkonný nástroj na analýzu marketingových údajov a trendov. V tomto kurze ťa prevedieme všetkými kľúčovými funkciami, ktoré môžu urýchliť tvoju prácu a pomôcť ti robiť inteligentnejšie marketingové rozhodnutia. Ukážeme ti ako pracovať s marketingovými zdrojmi údajov a vysvetliť základné vzorce pre analýzu.
156;Online kurz Microsoft Excel - Štatistické Funkcie;39;52;Kancelárske Balíky;Online kurz Microsoft Excel - Štatistické Funkcie je pre teba ideálny, ak sa chceš naučiť základy pravdepodobnosti a štatistiky v Exceli. Osvojíš si pojmy Hypotéza, predpoveď či regresia a s ľahkosťou ich budeš vedieť používať. Naučíme ťa pracovať s výbermi, odhadmi, koreláciami či kauzalitami.
157;Online kurz Microsoft Excel - Štatistika a Analytika;99;130;Kancelárske Balíky;Online kurz Excel štatistických výpočtov účastníkom umožňuje prehĺbiť si svoje vedomosti z Microsoft Excel na riešenie štatistických výpočtov. Je určený pre záujemcov, ktorí sa chcú naučiť vypočítať štatistické ukazovatele a parametre. Preberané sú štandardné štatisticko-analytické funkcie programu Microsoft Excel a predovšetkým doplnok Analýza dát (Analysis ToolPack), určený pre náročnejšie štatistické analýzy. Naučíte sa používať funkcie a nástroje na zisťovanie popisných charakteristík, závislostí javov, predikcie budúceho stavu, na prácu s časovými radmi a testovanie hypotéz.
158;Online kurz Microsoft Excel - Vyhľadávacie a Databázové Funkcie;54;72,00;Kancelárske Balíky;Online kurz Microsoft Excel - Vyhľadávacie a Databázové Funkcie je určený pre mierne pokročilých záujemcov, ktorí sa chcú naučiť pracovať s rôznymi vyhľadávacími funkciami, ktoré aplikácia Microsoft Excel ponúka. Ukážeme a povieme si o vyhľadávacích funkciách: VLOOKUP, HLOOKUP, LOOKUP, INDEX, MATCH.
159;Online kurz Microsoft Excel - Vyhľadávacie Funkcie a Vzorce;53;69,60;Kancelárske Balíky;Online kurz Microsoft Excel - Vyhľadávacie Funkcie a Vzorce je určený pre všetkých, ktorí chcú pracovať s programom Microsoft Excel na pokročilejšej úrovni. Naučíš sa pracovať s vyhľadávacími funkciami ako Vlookup, Hlookup, Lookup, Choose, Match, Index ale aj efektívne filtrovať údaje. Budeš vedieť ako vrátiť odkaz vo forme textu na jednu bunku v hárku, alebo aj na počet oblastí v odkaze. Tiež ti ukážeme ako vybrať hodnotu v zozname hodnôt, filtrovať rozsah údajov na základe kritérií, ktoré definuješ.
160;Online kurz Microsoft Excel 2016-2021 a Office 365 II. Mierne Pokročilý;55,9;69,90;Kancelárske Balíky;Online kurz Microsoft Excel 2016-2021 a Office 365 II. Mierne Pokročilý je sada webových aplikácií, ktoré slúžia ako nástroje na komunikovanie a spolupracovanie či už v rámci tímu, malej spoločnosti, alebo na úrovni veľkej medzinárodnej spoločnosti. Naučíme ťa používať funkcie na rôzne typy výpočtov a vytvoriť grafy alebo krivky. Na online kurze sa tiež naučíš orientovať v cloudovej platforme Office 365, naučíš sa tiež, akým spôsobom používať základné komunikačné nástroje.
161;Online kurz Microsoft Excel I. Začiatočník;39;52;Kancelárske Balíky;Online kurz Microsoft Excel I. Začiatočník je pre teba vhodný, ak sa chceš naučiť pracovať v Exceli. Naučíme ťa vytvárať a spracovávať tabuľky, grafy a obrázky. Osvojíš si prostredie Excelu, ukladanie súborov na USB kľuč a posielanie e-mailom.
162;Online kurz Microsoft Excel II. Mierne Pokročilý;50;66,3;Kancelárske Balíky;Online kurz Microsoft Excel II. Mierne Pokročilý je pre teba ideálny, ak máš skúsenosti s Excelom alebo si absolvoval online kurz Excel I. Začiatočník. Naučíme ťa používať funkcie na rôzne typy výpočtov a vytvoriť grafy alebo krivky. Osvojíš si prácu s hárkami, grafikou a podmieneným formátovaním.
163;Online kurz Microsoft Excel III. Pokročilý;56;74,1;Kancelárske Balíky;Online kurz Microsoft Excel III. Pokročilý je pre teba vhodný, ak máš skúsenosti s Excelom alebo si absolvoval online kurz Microsoft Excel II. Mierne pokročilý. Naučíme ťa modifikovať používateľské rozhranie a markantne urýchliť svoju prácu. Osvojíš si zabezpečenie dát v tabuľkách, tvorbu formulárov či vyhľadávacie funkcie tzv. lookupy. Tvorba reportov bude pre teba samozrejmosťou. Ako absolvent online kurzu Microsoft Excel Pokročilý zvládneš pokročilé analýzy dát, prácu s maticami či kontingenčnými tabuľkami
164;Online kurz Microsoft Excel III. Pokročilý - Mac OS;82;104;Kancelárske Balíky;Online kurz Microsoft Excel III. Pokročilý - Mac OS je určený pre teba, ak sa chceš naučiť pracovať v Exceli pod operačným systémom Mac OS. Naučíš sa spravovať, ale aj analyzovať dáta, pracovať s maticami či kontingenčnými tabuľkami. Je pre teba vhodný ak sa chceš naučiť rôzne tipy a triky na zlepšenie efektivity a produktivity práce v Microsoft Excel pre Mac OS.
165;Online kurz Microsoft Excel IV. Expert: Programovanie vo VBA;64;84,5;Kancelárske Balíky;Online kurz Microsoft Excel IV. VBA je pre teba vhodný, ak máš pokročilejšie skúsenosti s Microsoft Excel alebo si absolvoval online kurz Excel III. Spravíme z teba profesionála v programe Excel. Osvojíš si tajomstvá makier a jazyka VBA. Naučíme ťa konštrukcie jazyka VBA, ošetrovať chyby, ale aj efektívne spracovávať dáta. Budeš schopný vytvárať používateľské funkcie a formuláre priamo v kóde. Ako absolvent online kurzu Excel Expert: Programovanie vo VBA zvládneš používať ovládacie prvky ako tlačidlá, checkboxy, radio buttony a zoznamy.
166;Online kurz Microsoft Excel MO-200 MOS;96;126,2;Kancelárske Balíky;Online kurz Microsoft Excel MO-200 MOS slúži na prípravu na skúšku MO-200 Microsoft Excel MOS Associate, ktorá meria kompetencie v základoch vytvárania a správy pracovných listov a zošitov, vytvárania buniek a rozsahov, vytvárania tabuliek, uplatňovania vzorcov a funkcií a vytvárania grafov a objektov. Zameriava na schopnosť vytvárať a upravovať zošit s viacerými hárkami a použiť vizuálny reprezentáciu údajov pomocou grafického prvku.
167;Online kurz Microsoft Excel MO-201 MOS;96;126,2;Kancelárske Balíky;Online kurz Microsoft Excel MO-201 MOS slúži ako príprava na skúšku MO-201 Microsoft Excel MOS Expert. Meria kompetencie pri vytváraní, správe a distribúcii profesionálnych tabuliek pre rôzne špecializované účely a situácie. Týka sa schopnosti prispôsobiť prostredia Excelu potrebám projektu a zvýšiť produktivitu.
168;Online kurz Microsoft Excel pre Analytikov;57;75,40;Kancelárske Balíky;V online kurze Microsoft Excel pre Analytikov ťa naučíme vytvoriť z nesúrodých vstupov report, ktorý je jasný, stručný a presný. Napríklad pripojiť reporty na externé zdroje. Čistiť a upravovať dáta aby sa s nimi dalo vôbec niečo robiť. K tomu slúžia jednoduché nástroje, ale aj textové funkcie alebo funkcie pre ošetrenie chýb.
169;Online kurz Microsoft Excel pre Controllerov;57;75,40;Kancelárske Balíky;Práca logistika, plánovača alebo controllera bez vlastnej excelovskej tabuľky je neodmysliteľná. Ukážeme ti jednoduché funkcie až po funkcie, ktoré vyžadujú určitú zručnosť, ale pri ich osvojení ušetria veľa času pri práci. Online kurz Microsoft Excel pre Controllerov je určený pre logistikov, výrobných plánovačov, logistických analytikov, ale aj pre controllerov v podnikoch a všetkým, ktorých sa týka plánovanie a riadenie materiálových, výrobných a finančných tokov. Kurz vyžaduje ovládanie najzákladnejších funkcií Excelu. Cieľom kurzu je ukázať široké možnosti Excelu a jednoduchým spôsobom uľahčiť prácu.
170;Online kurz Microsoft Excel pre Referentov;57;75,40;Kancelárske Balíky;Online kurz Microsoft Excel pre Referentov je pre teba vhodný, ak máš skúsenosti s Excelom. Naučíme ťa vytvárať a spracovávať tabuľky, grafy a obrázky. Osvojíš si prostredie Excelu, ukladanie súborov na USB kľuč a posielanie e-mailom. Zostaviť funkciu na výpočet matematickej operácie a vytvoriť grafy či minigrafy.
171;Online kurz Microsoft Excel Štatistické Metódy;84;110,50;Kancelárske Balíky;Online kurz Microsoft Excel Štatistické Metódy ťa naučí vyhodnocovať dáta za pomoci rôznych štatistických metód. Osvojíš si prácu a naučíš sa zaujímavé funkcie Excelu. Získaš cenné znalosti nevyhnutné na vizualizáciu dát a vytváranie rôznych analýz.
172;Online kurz Microsoft Excel V. Expert: Pokročilé Programovanie VBA;75;98,8;Kancelárske Balíky;Online kurz Microsoft Excel V. Programovanie vo VBA je pre teba vhodný, ak máš skúsenosti s makrami a jazykom VBA v Microsoft Excel alebo si absolvoval online kurz Microsoft Excel IV. Naučíme ťa pracovať s udalosťami hárkov a zošita. Osvojíš si tvorbu vlastných objektov a ich využitie k zachyteniu udalosti. Písať rýchly kód a pracovať s editorom VBA sa pre teba stane samozrejmosťou. Ako absolvent online kurzu Excel zvládneš vytvárať formuláre pre zadávanie a spracovanie dát.
173;Online kurz Microsoft Excel VBA;99;130;Kancelárske Balíky;Online kurz Microsoft Excel VBA  je pre teba ako stvorený ak sa chceš naučiť automatizovať svoju prácu, ušetriť čas, energiu a svoje nervy, ručnou prácou v Exceli. Naučíme ťa základné princípy programovania a rôzne optimalizačné triky. Budeš schopný nahrávať svoju prácu do makier a písať si jednoduché skriptíky.
174;Online kurz Microsoft Outlook I. Začiatočník;36;48,1;Kancelárske Balíky;Online kurz Microsoft Outlook I. Začiatočník je pre teba skvelou voľbou, ak sa chcete naučiť pracovať v Outlooku. Osvojíte si písanie a odosielanie správ, či organizáciu kontaktov. Naplánovať schôdzu, dôležitú úlohu alebo významnú udalosť dokážete behom chvíľky a ešte ostane čas aj na kávičku.
